manzanac,rte,pred_2018,pred2018_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,2,1.851428571,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1,10,3,3,3,2,2,1,3,4,2,3,6,1
7.60E+21,,1,0.647731476,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2,2,2,2,1,2,2,0,0,2,2,3,0,1
7.60E+21,,0,0.483867339,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,4,3,0
7.60E+21,,4,4.032857143,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4,5,6,6,7,5,6,6,7,10,5,6,12,7
7.60E+21,,2,1.658571429,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6,2,4,6,4,3,3,7,5,1,1,2,3,4
7.60E+21,,1,0.852061224,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2,0,1,1,2,1,0,2,5,4,2,1,4,3
7.60E+21,,1,0.912368092,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1,1,5,0,2,4,1,1,2,0,2,0,0,3
7.60E+21,,2,2.371428571,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7,5,6,2,7,3,3,6,2,5,2,2,1,4
7.60E+21,,0,0.276958696,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,2,2,1,0,1
7.60E+21,,0,0.130710601,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1
7.60E+21,,1,0.550221311,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0,0,0,2,0,2,4,0,2,0,2,2,1,1
7.60E+21,,0,0.071158892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0
7.60E+21,,1,0.554059701,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,3,2,2,1,1,3,0
7.60E+21,,8,8.147142857,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8,3,13,7,10,14,14,11,8,16,9,7,15,16
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,1.385639098,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0,2,0,1,5,3,1,8,0,1,4,1,1,2
7.60E+21,,0,0.215726145,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1
7.60E+21,,1,0.910706483,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,1,1,2,1,2,1,4,2,2,1,4
7.60E+21,,0,0.131319093,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0
7.60E+21,,1,0.762699777,1,2,0,0,2,0,1,0,1,0,2,1,2,1,4,0,1,0,0,1,0,0,1,1,2,2,1,2,2
7.60E+21,,1,0.63465864,0,0,0,3,1,1,0,2,0,0,1,0,0,0,2,1,2,0,2,1,2,0,0,2,0,1,0,2,2
7.60E+21,,1,0.633109768,1,0,0,1,2,0,1,1,1,0,2,2,1,1,1,1,2,1,0,0,2,0,2,2,3,1,2,0,0
7.60E+21,,1,0.752842981,0,1,3,0,2,1,1,2,0,1,0,1,1,2,1,0,3,1,0,3,1,1,0,3,1,0,2,1,1
7.60E+21,,0,0.184656107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,3,0,1,2
7.60E+21,,0,0.306787922,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
7.60E+21,,0,0.135053418,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
7.60E+21,,0,0.292467216,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0,1,1,1,2
7.60E+21,,1,0.511511323,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,2,1
7.60E+21,,6,6.255714286,7,9,8,7,7,8,12,5,10,7,7,4,7,9,5,6,6,10,12,6,7,7,5,12,16,12,12,14,18
7.60E+21,,6,5.89,8,10,5,14,4,12,14,6,10,14,8,10,11,7,7,13,7,3,8,5,9,5,9,5,8,8,4,7,6
7.60E+21,,0,0.126401182,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7.60E+21,,0,0.461069696,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,3,1,3
7.60E+21,,1,0.806842857,0,1,0,1,1,3,0,1,0,2,0,1,1,2,4,2,0,1,0,2,4,2,1,2,1,1,1,1,0
