manzanac,,pred2029,pred2029_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.06553956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7.60E+21,,1,0.811671512,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3
7.60E+21,,2,1.547261905,2,2,2,2,2,2,2,2,2,2,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7
7.60E+21,,0,0.128101654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7.60E+21,,1,0.683093416,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0
7.60E+21,,0,0.020958338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.60E+21,,1,0.514231607,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1
7.60E+21,,0,0.020782186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.60E+21,,1,0.663975014,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1
7.60E+21,,1,0.593310463,1,1,1,1,0,1,1,1,1,1,1,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1
7.60E+21,,1,0.847385354,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1
7.60E+21,,1,0.79855585,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.621266298,1,1,1,0,1,1,1,1,1,0,1,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1
7.60E+21,,0,0.03592126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.60E+21,,1,0.568704551,1,1,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2
7.60E+21,,0,0.427342802,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1
7.60E+21,,1,0.936482148,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0
